artist,title,release_format,number_of_tracks,price,rating,votes,have,want,limited_edition,media_condition,sleeve_condition,release_page,genre,year,label_name,label_code
Iverson* and,First Collection,LP,10,27.96,5.0,2.0,13,10,0,M,M,https://discogs.com/release/25892479-Iverson-and-Walters-First-Collection?ev=item-vc,ambient,2022,Infinite Fog Productions ‎,If-114LP
TENGGER*,Earthing,LP,6,36.89,5.0,4.0,63,12,1,M,M,https://discogs.com/release/25078321-TENGGER-Earthing?ev=item-vc,ambient,2022,Cardinal Fuzz ‎,"CFUL246, Centripetal Force ‎– CF.34, Ramble Records ‎– RAK-0076"
Pefkin &,Pefkin & Roxane Métayer,LP,5,27.81,4.67,6.0,71,14,1,M,M,https://discogs.com/release/25193584-Pefkin-Roxane-M%C3%A9tayer-Pefkin-Roxane-M%C3%A9tayer?ev=item-vc,ambient,2022,Morc Records ‎,Morc #87
Muslimgauze vs,City Of Djinn,LP,21,45.78,5.0,11.0,155,118,1,M,M,https://discogs.com/release/22345678-Muslimgauze-vs-The-Rootsman-City-Of-Djinn?ev=item-vc,ambient,2022,Via Parigi ‎,VIA05LP
Giulio Aldinucci,Real,LP,8,24.96,4.67,6.0,39,19,1,M,M,https://discogs.com/release/24267260-Giulio-Aldinucci-Real?ev=item-vc,ambient,2022,Karlrecords ‎,KR096
Anenzephalia,Noehaem,LP,8,32.91,4.28,46.0,266,144,0,M,M,https://discogs.com/release/223914-Anenzephalia-Noehaem?ev=item-vc,ambient,2003,Tesco Organisation ‎,"TESCO 057, Zaetraom ‎– ZAETRAOM 01"
Chantal Acda &,"Koyaanisqatsi, A New Score",LP,3,21.89,4.2,5.0,26,12,1,M,M,https://discogs.com/release/24479186-Chantal-Acda-Eric-Thielemans-Koyaanisqatsi-A-New-Score?ev=item-vc,ambient,2022,Sub Rosa ‎,SRV524
Black Brunswicker,High Peaks,LP,10,30.95,4.5,2.0,3,7,1,M,M,https://discogs.com/release/23939132-Black-Brunswicker-High-Peaks?ev=item-vc,ambient,2022,Ramble Records ‎,RAM-0033
Santa Sprees,Fanfare For Tonsils,LP,24,32.78,5.0,1.0,6,0,1,M,M,https://discogs.com/release/24322991-Santa-Sprees-Fanfare-For-Tonsils?ev=item-vc,ambient,2022,Ramble Records (4) ‎,RAM0021
Vond,Aids To The People,LP,7,24.87,4.73,11.0,129,30,1,M,M,https://discogs.com/release/9604420-Vond-Aids-To-The-People?ev=item-vc,ambient,2017,Funeral Industries ‎,"F.I. 081, Omnipresence ‎– none"
The Lost Stoned Pandas,Dark Side Of The Noom II,LP,4,37.79,,,5,2,1,M,M,https://discogs.com/release/24229703-The-Lost-Stoned-Pandas-Dark-Side-Of-The-Noom-II?ev=item-vc,ambient,2022,Frg Records ‎,FRG LP 062
The Lost Stoned Pandas,Dark Side Of The Noom II,LP,4,37.88,,,10,3,1,M,M,https://discogs.com/release/24229184-The-Lost-Stoned-Pandas-Dark-Side-Of-The-Noom-II?ev=item-vc,ambient,2022,Frg Records ‎,FRG LP 062
Vond,Selvmord,LP,6,24.79,4.78,23.0,243,82,1,M,M,https://discogs.com/release/9612919-Vond-Selvmord?ev=item-vc,ambient,2017,Funeral Industries ‎,"FI 078, Omnipresence ‎– FI 078"
Ubeboet,Archival,LP,3,21.9,4.69,13.0,58,26,1,M,M,https://discogs.com/release/2416734-Ubeboet-Archival?ev=item-vc,ambient,2010,Moving Furniture Records ‎,MFR009
Pacific 231 (2),Ethnicities,LP,2,37.82,4.89,9.0,58,58,1,M,M,https://discogs.com/release/1171350-Pacific-231-Ethnicities?ev=item-vc,ambient,2006,Rotorelief ‎,ROTOR0002
Mirt*,Bad Times,"7""",2,10.79,4.6,15.0,65,11,1,M,M,https://discogs.com/release/6349953-Mirt-Bad-Times?ev=item-vc,ambient,2014,Backwards ‎,BW15
Flute & Voice,Imaginations Of Light / Hallo Rabbit,LP,15,49.92,4.39,18.0,123,87,1,M,M,https://discogs.com/release/8537913-Flute-Voice-Imaginations-Of-Light-Hallo-Rabbit?ev=item-vc,ambient,2016,Wah Wah Records ‎,LPS140
Bagarre Générale Vs,Bagarre Générale Vs Year Of No Light,LP,3,16.87,4.0,14.0,152,46,0,M,M,https://discogs.com/release/5943560-Bagarre-G%C3%A9n%C3%A9rale-Vs-Year-Of-No-Light-Bagarre-G%C3%A9n%C3%A9rale-Vs-Year-Of-No-Light?ev=item-vc,ambient,2015,Music Fear Satan ‎,MUF032
Afformance,The Place,"12""",4,23.92,4.25,4.0,35,10,1,M,M,https://discogs.com/release/4565144-Afformance-The-Place?ev=item-vc,ambient,2013,Catch The Soap Productions ‎,CTSOAP020
Ora Clementi,Cover You Will Softer Me,LP,2,17.94,4.64,11.0,130,79,0,M,M,https://discogs.com/release/6165500-Ora-Clementi-Cover-You-Will-Softer-Me-?ev=item-vc,ambient,2014,Penultimate Press ‎,PP11
Zero Kama,Zero Kama,LP,29,69.89,5.0,14.0,113,128,1,M,M,https://discogs.com/release/14831927-Zero-Kama-Zero-Kama?ev=item-vc,ambient,2020,Infinite Fog Productions ‎,IF-99LP
Orphax,Piano Music,"7""",2,16.87,4.33,3.0,37,9,1,M,M,https://discogs.com/release/13285876-Orphax-Piano-Music?ev=item-vc,ambient,2019,Moving Furniture Records ‎,MFRS001
Iasos,Angelic Music,LP,2,28.82,4.75,8.0,61,80,0,M,M,https://discogs.com/release/14814753-Iasos-Angelic-Music?ev=item-vc,ambient,2020,Fact Of Being ‎,FoB-004LP
Iasos,Inter-Dimensional Music,LP,13,28.96,4.64,14.0,93,152,0,M,M,https://discogs.com/release/14814775-Iasos-Inter-Dimensional-Music?ev=item-vc,ambient,2020,Fact Of Being ‎,FoB-003LP
Iasos,Realms Of Light,LP,8,28.86,4.83,6.0,30,49,0,M,M,https://discogs.com/release/14814790-Iasos-Realms-Of-Light?ev=item-vc,ambient,2020,Fact Of Being ‎,FoB-005LP
Breidablik,Omicron,LP,2,25.77,3.8,5.0,46,6,1,M,M,https://discogs.com/release/14874634-Breidablik-Omicron?ev=item-vc,ambient,2020,Pancromatic ‎,"PLP 2039, Pancromatic ‎– PLP - 2039"
Various,Intenta: Experimental And Electronic Music From Switzerland 1981-93,LP,17,30.98,4.69,26.0,335,403,0,M,M,https://discogs.com/release/14859281-Various-Intenta-Experimental-And-Electronic-Music-From-Switzerland-1981-93?ev=item-vc,ambient,2020,Les Disques Bongo Joe ‎,"BJR 050, Décalé. Records ‎– DéC 003"
"Gilbert Artman,",Gilbert Artman . Etienne Jaumet,LP,7,28.77,4.94,17.0,88,64,1,M,M,https://discogs.com/release/14215209-Gilbert-Artman-Etienne-Jaumet-Gilbert-Artman-Etienne-Jaumet-?ev=item-vc,ambient,2019,Besides Records (2) ‎,BRLP012
Nytt Land,Cvlt,LP,8,27.79,4.63,8.0,63,38,0,M,M,https://discogs.com/release/15067964-Nytt-Land-Cvlt?ev=item-vc,ambient,2020,Ksenza Records ‎,"KSZ 30LP, Infinite Fog Productions ‎– IF-100LP"
Various,They Make No Say / Popcorn Lung: A Polytechnic Youth Collection (Volume 1),LP,26,24.97,4.75,4.0,78,21,0,M,M,https://discogs.com/release/14922490-Various-They-Make-No-Say-Popcorn-Lung-A-Polytechnic-Youth-Collection-Volume-1?ev=item-vc,ambient,2019,Polytechnic Youth ‎,PY100
